List1	List2	Similarity
{'метал - бочка'}	{'bočka', 'бочка', 'boshkeh', 'пычка', 'бошк1а', 'бычка', 'boçka', 'пушк1а', 'рус', 'RUS', 'пышк1а', 'пычк1а', 'метал - бочка', 'бушка', 'бучка', 'пошк1а', 'пучка', 'пошка'}	DIFFERENT
{'чирмá', 'чарма', 'черме'}	{'чирмá', 'чарма', 'черма', 'черме'}	DIFFERENT
{'челег(п но меньше)', 'çaləq', 'челег(нп)', 'черма', 'челег подтвердил', 'черме', 'челеге', 'шалеги', 'челег', 'chelik'}	{'чирмá', 'чарма', 'черма', 'черме'}	DIFFERENT
{'khoffaash'}	{'khoffash', 'khoffaash'}	DIFFERENT
{'khoffash'}	{'khoffash', 'khoffaash'}	DIFFERENT
{"q'eɬːibožo"}	{"q'eɬːibožo", 'ʁamura'}	DIFFERENT
{'ʁamura'}	{"q'eɬːibožo", 'ʁamura'}	DIFFERENT
{'гедже учан'}	{'гедже учан', 'геджегезен'}	DIFFERENT
{'геджегезен'}	{'гедже учан', 'геджегезен'}	DIFFERENT
{'дергва'}	{'дергва', 'дергело'}	DIFFERENT
{'дергело'}	{'дергва', 'дергело'}	DIFFERENT
{'кьаркучубарукъ'}	{'кьаркьулув', 'кьваркьыд', 'кьаркьулив', 'кьауркьулив', 'кьуркьулив', 'кьаркучубарукъ', 'кьауркьулув'}	DIFFERENT
{'кьаркьулув', 'кьаркьулив', 'кьауркьулив', 'кьуркьулив', 'кьауркьулув'}	{'кьаркьулув', 'кьваркьыд', 'кьаркьулив', 'кьауркьулив', 'кьуркьулив', 'кьаркучубарукъ', 'кьауркьулув'}	DIFFERENT
{'кьваркьыд'}	{'кьаркьулув', 'кьваркьыд', 'кьаркьулив', 'кьауркьулив', 'кьуркьулив', 'кьаркучубарукъ', 'кьауркьулув'}	DIFFERENT
{'хакара'}	{'ххикри', 'хакара'}	DIFFERENT
{'ххикри'}	{'ххикри', 'хакара'}	DIFFERENT
{'хъырхъаба', 'хъархъаба'}	{'хъырхъаба', 'хъархъанаг', 'хъархъаба'}	DIFFERENT
{'хъархъанаг'}	{'хъырхъаба', 'хъархъанаг', 'хъархъаба'}	DIFFERENT
{'ч1ала баппай'}	{'чалабапай', 'ч1ала баппай', 'чяляпапай'}	DIFFERENT
{'шейтнин ччаппряхян', 'ч1аппрахан', 'ч1апряхан', 'чапрахан'}	{'шейтнин ччаппряхян', 'ч1яп1рях', 'ч1апряхан', 'ч1аппрахил', 'ччаппрях', 'ч1аппряхъ подтвердил', 'чапрасг1ул', 'чапраб', 'чапряхил', 'чяпрях', 'ч1апряхил', 'ч1аппрях', 'ч1аппрахил подтвердил', 'ч1яп1рях п', 'ч1аппряхъ', 'ч1япряхиль', 'ччаппряпп', 'ч1япрях', 'чапрахан', 'чапар', 'ч1япряб', 'ч1аппуряппу', 'ч1аппряпп', 'ч1аппыряхъ', 'ччаппрхлинц', 'ч1ирч1апагь', 'ч1аппрахан', '"ч1апряхан(нп - ""другое значение"")"'}	DIFFERENT
{'ч1аппрахил', 'чапряхил', 'ч1апряхил', 'ч1япряхиль', 'ч1аппрахил подтвердил'}	{'шейтнин ччаппряхян', 'ч1яп1рях', 'ч1апряхан', 'ч1аппрахил', 'ччаппрях', 'ч1аппряхъ подтвердил', 'чапрасг1ул', 'чапраб', 'чапряхил', 'чяпрях', 'ч1апряхил', 'ч1аппрях', 'ч1аппрахил подтвердил', 'ч1яп1рях п', 'ч1аппряхъ', 'ч1япряхиль', 'ччаппряпп', 'ч1япрях', 'чапрахан', 'чапар', 'ч1япряб', 'ч1аппуряппу', 'ч1аппряпп', 'ч1аппыряхъ', 'ччаппрхлинц', 'ч1ирч1апагь', 'ч1аппрахан', '"ч1апряхан(нп - ""другое значение"")"'}	DIFFERENT
{'ч1яп1рях', 'ч1яп1рях п', 'чапраб', 'ч1аппряхъ', 'чапурппурапу', 'ч1япряб', 'ч1аппуряппу', 'чяпрях', 'ччаппрях', 'ч1аппряпп', 'ч1аппыряхъ', 'ч1аппряхъ подтвердил', 'ч1аппрях', 'ччаппряпп', 'ч1япрях'}	{'шейтнин ччаппряхян', 'ч1яп1рях', 'ч1апряхан', 'ч1аппрахил', 'ччаппрях', 'ч1аппряхъ подтвердил', 'чапрасг1ул', 'чапраб', 'чапряхил', 'чяпрях', 'ч1апряхил', 'ч1аппрях', 'ч1аппрахил подтвердил', 'ч1яп1рях п', 'ч1аппряхъ', 'ч1япряхиль', 'ччаппряпп', 'ч1япрях', 'чапрахан', 'чапар', 'ч1япряб', 'ч1аппуряппу', 'ч1аппряпп', 'ч1аппыряхъ', 'ччаппрхлинц', 'ч1ирч1апагь', 'ч1аппрахан', '"ч1апряхан(нп - ""другое значение"")"'}	DIFFERENT
{'ч1ирч1апагь'}	{'шейтнин ччаппряхян', 'ч1яп1рях', 'ч1апряхан', 'ч1аппрахил', 'ччаппрях', 'ч1аппряхъ подтвердил', 'чапрасг1ул', 'чапраб', 'чапряхил', 'чяпрях', 'ч1апряхил', 'ч1аппрях', 'ч1аппрахил подтвердил', 'ч1яп1рях п', 'ч1аппряхъ', 'ч1япряхиль', 'ччаппряпп', 'ч1япрях', 'чапрахан', 'чапар', 'ч1япряб', 'ч1аппуряппу', 'ч1аппряпп', 'ч1аппыряхъ', 'ччаппрхлинц', 'ч1ирч1апагь', 'ч1аппрахан', '"ч1апряхан(нп - ""другое значение"")"'}	DIFFERENT
{'чалабапай', 'чяляпапай'}	{'чалабапай', 'ч1ала баппай', 'чяляпапай'}	DIFFERENT
{'чапар'}	{'шейтнин ччаппряхян', 'ч1яп1рях', 'ч1апряхан', 'ч1аппрахил', 'ччаппрях', 'ч1аппряхъ подтвердил', 'чапрасг1ул', 'чапраб', 'чапряхил', 'чяпрях', 'ч1апряхил', 'ч1аппрях', 'ч1аппрахил подтвердил', 'ч1яп1рях п', 'ч1аппряхъ', 'ч1япряхиль', 'ччаппряпп', 'ч1япрях', 'чапрахан', 'чапар', 'ч1япряб', 'ч1аппуряппу', 'ч1аппряпп', 'ч1аппыряхъ', 'ччаппрхлинц', 'ч1ирч1апагь', 'ч1аппрахан', '"ч1апряхан(нп - ""другое значение"")"'}	DIFFERENT
{'чапрасг1ул'}	{'шейтнин ччаппряхян', 'ч1яп1рях', 'ч1апряхан', 'ч1аппрахил', 'ччаппрях', 'ч1аппряхъ подтвердил', 'чапрасг1ул', 'чапраб', 'чапряхил', 'чяпрях', 'ч1апряхил', 'ч1аппрях', 'ч1аппрахил подтвердил', 'ч1яп1рях п', 'ч1аппряхъ', 'ч1япряхиль', 'ччаппряпп', 'ч1япрях', 'чапрахан', 'чапар', 'ч1япряб', 'ч1аппуряппу', 'ч1аппряпп', 'ч1аппыряхъ', 'ччаппрхлинц', 'ч1ирч1апагь', 'ч1аппрахан', '"ч1апряхан(нп - ""другое значение"")"'}	DIFFERENT
{'ч1яп1рях', 'ч1яп1рях п', 'чапраб', 'ч1аппряхъ', 'чапурппурапу', 'ч1япряб', 'ч1аппуряппу', 'чяпрях', 'ччаппрях', 'ч1аппряпп', 'ч1аппыряхъ', 'ч1аппряхъ подтвердил', 'ч1аппрях', 'ччаппряпп', 'ч1япрях'}	{'чапурппурапу'}	DIFFERENT
{'ччаппрхлинц'}	{'шейтнин ччаппряхян', 'ч1яп1рях', 'ч1апряхан', 'ч1аппрахил', 'ччаппрях', 'ч1аппряхъ подтвердил', 'чапрасг1ул', 'чапраб', 'чапряхил', 'чяпрях', 'ч1апряхил', 'ч1аппрях', 'ч1аппрахил подтвердил', 'ч1яп1рях п', 'ч1аппряхъ', 'ч1япряхиль', 'ччаппряпп', 'ч1япрях', 'чапрахан', 'чапар', 'ч1япряб', 'ч1аппуряппу', 'ч1аппряпп', 'ч1аппыряхъ', 'ччаппрхлинц', 'ч1ирч1апагь', 'ч1аппрахан', '"ч1апряхан(нп - ""другое значение"")"'}	DIFFERENT
{'khatm', 'muč'}	{'khatm'}	DIFFERENT
{'menghar', 'minqaar', 'minqaad'}	{'menghar'}	DIFFERENT
{'menghar', 'minqaar', 'minqaad'}	{'minqaar', 'minqaad'}	DIFFERENT
{'khatm', 'muč'}	{'muč'}	DIFFERENT
{'гъюзмюз', 'гъюдзмюдз', 'гъузмуз', 'гъудзмудз'}	{'гъюдзмюдз', 'къуьзмуьз', 'кьудзмудзу', 'музмуз', 'музмуз подтвердил', 'гъюзмюз', 'гъузмуз', 'гъудзмудз'}	DIFFERENT
{'гъямгъям'}	{'рамрам', 'гъямгъям'}	DIFFERENT
{'къуьзмуьз', 'музмуз подтвердил', 'кьудзмудзу', 'музмуз'}	{'гъюдзмюдз', 'къуьзмуьз', 'кьудзмудзу', 'музмуз', 'музмуз подтвердил', 'гъюзмюз', 'гъузмуз', 'гъудзмудз'}	DIFFERENT
{'мит'}	{'мит', 'миъи'}	DIFFERENT
{'миъи'}	{'мит', 'миъи'}	DIFFERENT
{'рамрам'}	{'рамрам', 'гъямгъям'}	DIFFERENT
{'bab', 'баб'}	{'bab', 'баб', 'bameh'}	DIFFERENT
{'bameh'}	{'bab', 'баб', 'bameh'}	DIFFERENT
{"saq'al", 'saqqal', 'сакъал', 'цакъал', 'цаккал', 'саккал', 'сахъхъал', 'sak1al', 'сакькьал', "saq'ali", 'сахъал', "saq'al - old"}	{"saq'al", 'saqqal', 'сакъал', 'цакъал', 'цаккал', 'саккал', 'сахъхъал', 'хъардеш', 'sak1al', 'сакькьал', "saq'ali", 'сахъал', "saq'al - old"}	DIFFERENT
{'МЕШÓЛГА', 'мошолкIа'}	{'МЕШÓЛГА', 'мижелълъу', 'мошолкIа'}	DIFFERENT
{'мижелълъу'}	{'МЕШÓЛГА', 'мижелълъу', 'мошолкIа'}	DIFFERENT
{'хъардеш'}	{"saq'al", 'saqqal', 'сакъал', 'цакъал', 'цаккал', 'саккал', 'сахъхъал', 'хъардеш', 'sak1al', 'сакькьал', "saq'ali", 'сахъал', "saq'al - old"}	DIFFERENT
{'(перулъи) щиру'}	{'щиру', 'шир', 'щир', '(перулъи) щиру'}	DIFFERENT
{'mum podtv', 'moom', 'мым', 'mum', 'мум тоже есть', 'мум', 'мум подтвердил'}	{'mum', 'mum podtv', 'moom'}	DIFFERENT
{"sham'"}	{'шам', 'шям', 'шам подтвердил', 'шямар', 'шем', "sham'"}	DIFFERENT
{'мук1', 'мук1 п'}	{'мук1', 'найил', 'мук1 п'}	DIFFERENT
{'mum podtv', 'moom', 'мым', 'mum', 'мум тоже есть', 'мум', 'мум подтвердил'}	{'мым', '*мум', 'мум подтвердил', 'мум'}	DIFFERENT
{'mum podtv', 'moom', 'мым', 'mum', 'мум тоже есть', 'мум', 'мум подтвердил'}		NOT IN LIST 2
{'найил'}	{'мук1', 'найил', 'мук1 п'}	DIFFERENT
{'шам', 'шям', 'шам подтвердил', 'шямар', 'шем', 'шир'}	{'шам', 'шям', 'шам подтвердил', 'шямар', 'шем', "sham'"}	DIFFERENT
{'шам', 'шям', 'шам подтвердил', 'шямар', 'шем', 'шир'}	{'щиру', 'шир', 'щир', '(перулъи) щиру'}	DIFFERENT
{'щиру', 'щир'}	{'щиру', 'шир', 'щир', '(перулъи) щиру'}	DIFFERENT
{'ч1урут1у', 'band'}	{'band'}	DIFFERENT
{'daval', 'чату - пояс'}	{'daval'}	DIFFERENT
{'kamar', 'qəmər', 'кемер', 'kəmar', 'kamari', 'kəmər', 'камар', 'къемер'}	{'kəmar', 'kamari', 'kamar', 'kəmər'}	DIFFERENT
{'къайыш', 'къайиш', 'qayış'}	{'къайыш', 'къайиш', 'qayış', 'хъайиш'}	DIFFERENT
{'kamar', 'qəmər', 'кемер', 'kəmar', 'kamari', 'kəmər', 'камар', 'къемер'}	{'qəmər'}	DIFFERENT
{'remen', 'ремень'}	{'remen'}	DIFFERENT
{'илъ', 'илъоб', 'ýлъ1'}	{'ýлъ1'}	DIFFERENT
{'гIарщ'}	{'гIарщ', 'гъяиш', 'гъяйиш'}	DIFFERENT
{'гъяйиш', 'гъяиш'}	{'гIарщ', 'гъяиш', 'гъяйиш'}	DIFFERENT
{'доьхка', 'тохкъа'}	{'доьхка'}	DIFFERENT
{'илъ', 'илъоб', 'ýлъ1'}	{'илъ', 'илъоб'}	DIFFERENT
{'kamar', 'qəmər', 'кемер', 'kəmar', 'kamari', 'kəmər', 'камар', 'къемер'}	{'камар', 'къемер', 'кемер'}	DIFFERENT
{'remen', 'ремень'}	{'ремень'}	DIFFERENT
{'доьхка', 'тохкъа'}	{'тохкъа'}	DIFFERENT
{'хъайиш'}	{'къайыш', 'къайиш', 'qayış', 'хъайиш'}	DIFFERENT
{'ч1урут1у', 'band'}	{'ч1урут1у'}	DIFFERENT
{'daval', 'чату - пояс'}	{'чату - пояс'}	DIFFERENT
{'jorʁan', 'йоргъан', 'ургъан', 'jurʁan', 'yorğan савали podtv', 'йургъан', 'юргъан п', 'ювургъан', 'юргъан', 'yorğan', 'яргъан', 'ергъан', 'иргъан', 'кюрган', 'yorğan podtv', 'ёргъан', 'юргъан подтвердил', 'verʁan', 'yorɣan'}	{'jorʁan', 'йоргъан', 'ургъан', 'jurʁan', 'yorğan савали podtv', 'йургъан', 'юргъан п', 'ювургъан', 'юргъан', 'игъва', 'yorğan', 'яргъан', 'ергъан', 'иргъан', 'кюрган', 'yorğan podtv', 'ёргъан', 'юргъан подтвердил', 'yorɣan'}	DIFFERENT
{'lihaaf'}	{'лег1еф', 'леэф', 'леэф подтвердил', 'лиъиф', 'леъеф', 'лехIеф', 'ляа1ф', 'lihaaf', 'ляъяф', 'лееф', 'лииф', 'леъэф'}	DIFFERENT
{'jorʁan', 'йоргъан', 'ургъан', 'jurʁan', 'yorğan савали podtv', 'йургъан', 'юргъан п', 'ювургъан', 'юргъан', 'yorğan', 'яргъан', 'ергъан', 'иргъан', 'кюрган', 'yorğan podtv', 'ёргъан', 'юргъан подтвердил', 'verʁan', 'yorɣan'}	{'verʁan'}	DIFFERENT
{'игъва'}	{'jorʁan', 'йоргъан', 'ургъан', 'jurʁan', 'yorğan савали podtv', 'йургъан', 'юргъан п', 'ювургъан', 'юргъан', 'игъва', 'yorğan', 'яргъан', 'ергъан', 'иргъан', 'кюрган', 'yorğan podtv', 'ёргъан', 'юргъан подтвердил', 'yorɣan'}	DIFFERENT
{'лег1еф', 'леэф', 'леэф подтвердил', 'лиъиф', 'леъеф', 'лехIеф', 'ляа1ф', 'ляъяф', 'лееф', 'лииф', 'леъэф'}	{'лег1еф', 'леэф', 'леэф подтвердил', 'лиъиф', 'леъеф', 'лехIеф', 'ляа1ф', 'lihaaf', 'ляъяф', 'лееф', 'лииф', 'леъэф'}	DIFFERENT
{'pil (2)'}	{'пули', 'пул', 'ПУЛ', 'пул т1амид', 'pil (2)'}	DIFFERENT
{'qabar', 'къабар', 'кабар', 'къабар подтвердил', 'абар', 'хъабар', 'qabar podtv'}	{'qabar', 'къабар', 'кабар', 'къабар подтвердил', 'хъабар', 'qabar podtv'}	DIFFERENT
{'qabar', 'къабар', 'кабар', 'къабар подтвердил', 'абар', 'хъабар', 'qabar podtv'}	{'абар'}	DIFFERENT
{'гъе1де1гъ', 'гъыдигъ', 'гъеди?', 'гъеди'}	{'гъе1де1гъ', 'гъыдигъ', 'гъеди'}	DIFFERENT
{'гъе1де1гъ', 'гъыдигъ', 'гъеди?', 'гъеди'}		NOT IN LIST 2
{'гьаНк1ва'}	{'рикьил1л гьанк1о', 'гьаНк1ва', 'рикьилъи гьанк1ва'}	DIFFERENT
{'илцибкъу тIур'}	{'т1ур', 'илцибкъу тIур'}	DIFFERENT
{'кишкIир', 'к1аша', 'кишк1ир', 'к1ашша', 'к1ашк', 'кIеш', 'к1ишкар', 'к1ишкир', 'к1аш', 'к1ешк1ер подтвердил', 'кlаш', 'к1еш', 'кьаш', 'к1ешк1ер', 'кьаш п', 'к1шар'}	{'кишкIир', 'к1аша', 'кишк1ир', 'к1ашша', 'к1ашк', 'кIеш', 'к1ишкар', 'к1ишкир', 'к1аш', 'к1ешк1ер подтвердил', 'кlаш', 'ч1ихкир', 'ч1ишкир', 'к1еш', 'кьаш', 'к1ешк1ер', 'кьаш п', 'к1шар'}	DIFFERENT
{'кткур', 'ныц1', 'куркур', 'кыркыр'}	{'куркур', 'кыркыр', 'кткур', 'хьурхьур', 'хьурхьур подтвердил'}	DIFFERENT
{'п1акьа', 'п1якья', 'п1якь', 'къатыв'}	{'къатыв'}	DIFFERENT
{'парахъур', 'къегар'}	{'къегар'}	DIFFERENT
{'кткур', 'ныц1', 'куркур', 'кыркыр'}	{'ныц1'}	DIFFERENT
{'п1акьа', 'п1якья', 'п1якь', 'къатыв'}	{'п1якья', 'п1якь', 'пинкь', 'пинкьа', 'пинкье', 'п1акьа', 'пиНкьа'}	DIFFERENT
{'парахъур', 'къегар'}	{'парахъур', 'хъурхъурай', 'х1урх1урар \\не уверен насчет х1\\'}	DIFFERENT
{'пиНкьа', 'пинкь', 'пинкьа', 'пинкье'}	{'п1якья', 'п1якь', 'пинкь', 'пинкьа', 'пинкье', 'п1акьа', 'пиНкьа'}	DIFFERENT
{'пул т1амид', 'пули', 'ПУЛ', 'пул'}	{'пули', 'пул', 'ПУЛ', 'пул т1амид', 'pil (2)'}	DIFFERENT
{'рикьил1л гьанк1о', 'рикьилъи гьанк1ва'}	{'рикьил1л гьанк1о', 'гьаНк1ва', 'рикьилъи гьанк1ва'}	DIFFERENT
{'т1ур'}	{'т1ур', 'илцибкъу тIур'}	DIFFERENT
{'х1урх1урар \\не уверен насчет х1\\'}	{'парахъур', 'хъурхъурай', 'х1урх1урар \\не уверен насчет х1\\'}	DIFFERENT
{'хер'}	{'хьа1хьа1т1', 'хер'}	DIFFERENT
{'хьурхьур', 'хъурхъурай', 'хьурхьур подтвердил'}	{'парахъур', 'хъурхъурай', 'х1урх1урар \\не уверен насчет х1\\'}	DIFFERENT
{'хьа1хьа1т1'}	{'хьа1хьа1т1', 'хер'}	DIFFERENT
{'хьурхьур', 'хъурхъурай', 'хьурхьур подтвердил'}	{'куркур', 'кыркыр', 'кткур', 'хьурхьур', 'хьурхьур подтвердил'}	DIFFERENT
{'ч1ишкир', 'ч1ихкир'}	{'кишкIир', 'к1аша', 'кишк1ир', 'к1ашша', 'к1ашк', 'кIеш', 'к1ишкар', 'к1ишкир', 'к1аш', 'к1ешк1ер подтвердил', 'кlаш', 'ч1ихкир', 'ч1ишкир', 'к1еш', 'кьаш', 'к1ешк1ер', 'кьаш п', 'к1шар'}	DIFFERENT
{'2) жили сил'}		NOT IN LIST 2
{'çöl donuzu', 'bagra', 'давуз', 'dovuz', 'довуз', 'долуз', 'çol dunğuz', 'doguz'}	{'bagra'}	DIFFERENT
{'çöl donuzu', 'bagra', 'давуз', 'dovuz', 'довуз', 'долуз', 'çol dunğuz', 'doguz'}	{'çöl donuzu', 'дунгъуз', 'давуз', 'dovuz', 'довуз', 'долуз', 'çol dunğuz', 'doguz'}	DIFFERENT
{'къабан', 'кьабан', 'хъапан', 'хъабан', 'qaban', 'qaban podtv', 'кабан'}	{'кабан 1) чIурдинсил', 'къабан', 'кьабан', 'хъабан', 'хъапан', 'qaban', 'qaban podtv', 'кабан'}	DIFFERENT
{'t’axe', 'taχi', 'tax', 'taχ', 'taχ - samets svinyi'}	{'tax', 't’axe', 'taχ', 'taχi'}	DIFFERENT
{'t’axe', 'taχi', 'tax', 'taχ', 'taχ - samets svinyi'}		NOT IN LIST 2
{'ахта сил'}	{'силь', 'ч1урдинсил', 'Ч1урди сил', 'ахта сил', 'сил'}	DIFFERENT
{'болъон', 'болъо', 'г1алхул болъон', 'БÁIЛIО'}	{'БÁIЛIО'}	DIFFERENT
{'болъон', 'болъо', 'г1алхул болъон', 'БÁIЛIО'}	{'болъо', 'г1алхул болъон', 'болъон'}	DIFFERENT
{'букьац', 'бухъац', 'бук1ац'}	{'букьац', 'бук1ац'}	DIFFERENT
{'букьац', 'бухъац', 'бук1ац'}	{'бухъац'}	DIFFERENT
{'вепрь'}	{'жакьа', 'вепрь'}	DIFFERENT
{'дунгъуз'}	{'çöl donuzu', 'дунгъуз', 'давуз', 'dovuz', 'довуз', 'долуз', 'çol dunğuz', 'doguz'}	DIFFERENT
{'жакьа'}	{'жакьа', 'вепрь'}	DIFFERENT
{'кабан 1) чIурдинсил'}	{'кабан 1) чIурдинсил', 'къабан', 'кьабан', 'хъабан', 'хъапан', 'qaban', 'qaban podtv', 'кабан'}	DIFFERENT
{'Ч1урди сил', 'ч1урдинсил', 'сил', 'силь'}	{'силь', 'ч1урдинсил', 'Ч1урди сил', 'ахта сил', 'сил'}	DIFFERENT
{'беден оба подтвердил', 'беден', 'bədən', 'bədən podtv', 'badan'}	{'bədən podtv', 'беден', 'badan', 'bədən'}	DIFFERENT
{'jasad'}	{'жасад', 'jasad'}	DIFFERENT
{'laga'}	{'laga', 'лаги', 'лага'}	DIFFERENT
{'беден оба подтвердил', 'беден', 'bədən', 'bədən podtv', 'badan'}		NOT IN LIST 2
{'жасад'}	{'жасад', 'jasad'}	DIFFERENT
{'лаги', 'лага'}	{'laga', 'лаги', 'лага'}	DIFFERENT
{'botli', 'botree'}	{'botli'}	DIFFERENT
{'botli', 'botree'}	{'botree'}	DIFFERENT
{'zujaaja', 'ravieh'}	{'ravieh'}	DIFFERENT
{'шюша', 'şüşə', 'шишав', 'шуша', 'шюше', 'шуше', 'šuša', 'şuşa', 'ШУЬШЕ', 'шюше(п редко)', 'шиша', 'şüşа', 'шуьше'}	{'шюша', 'şüşə', 'шишав', 'шуша', 'шюше', 'шуше', 'šuša', 'şuşa', 'ШУЬШЕ', 'шиша', 'şüşа', 'шуьше'}	DIFFERENT
{'макълашка', 'tong'}	{'tong'}	DIFFERENT
{'zujaaja', 'ravieh'}	{'zujaaja'}	DIFFERENT
{'макълашка', 'tong'}	{'макълашка'}	DIFFERENT
{'шюша', 'şüşə', 'шишав', 'шуша', 'шюше', 'шуше', 'šuša', 'şuşa', 'ШУЬШЕ', 'шюше(п редко)', 'шиша', 'şüşа', 'шуьше'}		NOT IN LIST 2
